name,layer_info,input,out,dot,add,compare,ops,weight_size,activation_size
features.denseblock3.denselayer3.branch2b.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 64, 14, 14]","[1, 16, 14, 14]",1806336,1806336,0,3612672,9216,3136
features.denseblock3.denselayer3.branch2b.norm,None,"[1, 16, 14, 14]","[1, 16, 14, 14]",3136,3136,0,6272,0,3136
features.denseblock3.denselayer3.branch2c.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 16, 14, 14]","[1, 16, 14, 14]",451584,451584,0,903168,2304,3136
features.denseblock3.denselayer3.branch2c.norm,None,"[1, 16, 14, 14]","[1, 16, 14, 14]",3136,3136,0,6272,0,3136
features.denseblock3.denselayer4.branch1a.conv,"kernel=1x1,stride=1x1,pad=0x0,num_out=64","[1, 352, 14, 14]","[1, 64, 14, 14]",4415488,4415488,0,8830976,22528,12544
features.denseblock3.denselayer4.branch1a.norm,None,"[1, 64, 14, 14]","[1, 64, 14, 14]",12544,12544,0,25088,0,12544
features.denseblock3.denselayer4.branch1b.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 64, 14, 14]","[1, 16, 14, 14]",1806336,1806336,0,3612672,9216,3136
features.denseblock3.denselayer4.branch1b.norm,None,"[1, 16, 14, 14]","[1, 16, 14, 14]",3136,3136,0,6272,0,3136
features.denseblock3.denselayer4.branch2a.conv,"kernel=1x1,stride=1x1,pad=0x0,num_out=64","[1, 352, 14, 14]","[1, 64, 14, 14]",4415488,4415488,0,8830976,22528,12544
features.denseblock3.denselayer4.branch2a.norm,None,"[1, 64, 14, 14]","[1, 64, 14, 14]",12544,12544,0,25088,0,12544
features.denseblock3.denselayer4.branch2b.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 64, 14, 14]","[1, 16, 14, 14]",1806336,1806336,0,3612672,9216,3136
features.denseblock3.denselayer4.branch2b.norm,None,"[1, 16, 14, 14]","[1, 16, 14, 14]",3136,3136,0,6272,0,3136
features.denseblock3.denselayer4.branch2c.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 16, 14, 14]","[1, 16, 14, 14]",451584,451584,0,903168,2304,3136
features.denseblock3.denselayer4.branch2c.norm,None,"[1, 16, 14, 14]","[1, 16, 14, 14]",3136,3136,0,6272,0,3136
features.denseblock3.denselayer5.branch1a.conv,"kernel=1x1,stride=1x1,pad=0x0,num_out=64","[1, 384, 14, 14]","[1, 64, 14, 14]",4816896,4816896,0,9633792,24576,12544
features.denseblock3.denselayer5.branch1a.norm,None,"[1, 64, 14, 14]","[1, 64, 14, 14]",12544,12544,0,25088,0,12544
features.denseblock3.denselayer5.branch1b.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 64, 14, 14]","[1, 16, 14, 14]",1806336,1806336,0,3612672,9216,3136
features.denseblock3.denselayer5.branch1b.norm,None,"[1, 16, 14, 14]","[1, 16, 14, 14]",3136,3136,0,6272,0,3136
features.denseblock3.denselayer5.branch2a.conv,"kernel=1x1,stride=1x1,pad=0x0,num_out=64","[1, 384, 14, 14]","[1, 64, 14, 14]",4816896,4816896,0,9633792,24576,12544
features.denseblock3.denselayer5.branch2a.norm,None,"[1, 64, 14, 14]","[1, 64, 14, 14]",12544,12544,0,25088,0,12544
features.denseblock3.denselayer5.branch2b.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 64, 14, 14]","[1, 16, 14, 14]",1806336,1806336,0,3612672,9216,3136
features.denseblock3.denselayer5.branch2b.norm,None,"[1, 16, 14, 14]","[1, 16, 14, 14]",3136,3136,0,6272,0,3136
